Games or Apps played by my friendlist (100)/ Hours Played by days,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,
Call of Duty: Black Ops 3,47,32,12,22,39,56,60,
Grand Theft Auto V,30,7,9,2,10,0,17,
SMITE,12,15,3,6,1,5,18,
Battlefield 1,23,13,16,21,9,14,16,
Rocket League,3,1,4,0,6,11,8,
Forza Horizon 3,7,7,2,4,0,6,10,
Overwatch,2,5,4,1,5,5,9,
Youtube,3,0,1,7,2,3,1,
Netflix,11,5,7,13,6,32,29,
Skype,6,1,0,2,0,5,2,
Twitch,1,3,0,0,2,4,8,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
